============================================================
JMdict Multilingual Import
============================================================
Source: data/JMdict_e
Target: data/dictionary_full_multilingual.sqlite

Creating database: data/dictionary_full_multilingual.sqlite
Parsing XML: data/JMdict_e
Imported 84000 entries, 105894 senses (CN-simp: 0, CN-trad: 0)...
Imported 85000 entries, 106978 senses (CN-simp: 0, CN-trad: 0)...
Imported 86000 entries, 108002 senses (CN-simp: 0, CN-trad: 0)...
Imported 87000 entries, 109047 senses (CN-simp: 0, CN-trad: 0)...
Imported 88000 entries, 110226 senses (CN-simp: 0, CN-trad: 0)...
Imported 89000 entries, 111238 senses (CN-simp: 0, CN-trad: 0)...
Imported 90000 entries, 112321 senses (CN-simp: 0, CN-trad: 0)...
Imported 91000 entries, 113362 senses (CN-simp: 0, CN-trad: 0)...
Imported 92000 entries, 114417 senses (CN-simp: 0, CN-trad: 0)...
Imported 93000 entries, 115645 senses (CN-simp: 0, CN-trad: 0)...
Imported 94000 entries, 116789 senses (CN-simp: 0, CN-trad: 0)...
Imported 95000 entries, 118008 senses (CN-simp: 0, CN-trad: 0)...
Imported 96000 entries, 119052 senses (CN-simp: 0, CN-trad: 0)...
Imported 97000 entries, 120137 senses (CN-simp: 0, CN-trad: 0)...
Imported 98000 entries, 121279 senses (CN-simp: 0, CN-trad: 0)...
Imported 99000 entries, 122449 senses (CN-simp: 0, CN-trad: 0)...
Imported 100000 entries, 123634 senses (CN-simp: 0, CN-trad: 0)...
Imported 101000 entries, 124751 senses (CN-simp: 0, CN-trad: 0)...
Imported 102000 entries, 125871 senses (CN-simp: 0, CN-trad: 0)...
Imported 103000 entries, 126984 senses (CN-simp: 0, CN-trad: 0)...
Imported 104000 entries, 128044 senses (CN-simp: 0, CN-trad: 0)...
Imported 105000 entries, 129176 senses (CN-simp: 0, CN-trad: 0)...
Imported 106000 entries, 130292 senses (CN-simp: 0, CN-trad: 0)...
Imported 107000 entries, 131365 senses (CN-simp: 0, CN-trad: 0)...
Imported 108000 entries, 132494 senses (CN-simp: 0, CN-trad: 0)...
Imported 109000 entries, 133623 senses (CN-simp: 0, CN-trad: 0)...
Imported 110000 entries, 134707 senses (CN-simp: 0, CN-trad: 0)...
Imported 111000 entries, 135801 senses (CN-simp: 0, CN-trad: 0)...
Imported 112000 entries, 136935 senses (CN-simp: 0, CN-trad: 0)...
Imported 113000 entries, 138092 senses (CN-simp: 0, CN-trad: 0)...
Imported 114000 entries, 139190 senses (CN-simp: 0, CN-trad: 0)...
Imported 115000 entries, 140318 senses (CN-simp: 0, CN-trad: 0)...
Imported 116000 entries, 141496 senses (CN-simp: 0, CN-trad: 0)...
Imported 117000 entries, 142634 senses (CN-simp: 0, CN-trad: 0)...
Imported 118000 entries, 143704 senses (CN-simp: 0, CN-trad: 0)...
Imported 119000 entries, 144724 senses (CN-simp: 0, CN-trad: 0)...
Imported 120000 entries, 145743 senses (CN-simp: 0, CN-trad: 0)...
Imported 121000 entries, 146773 senses (CN-simp: 0, CN-trad: 0)...
Imported 122000 entries, 147785 senses (CN-simp: 0, CN-trad: 0)...
Imported 123000 entries, 148798 senses (CN-simp: 0, CN-trad: 0)...
